"DENSITE"	"BUTYREUX"	"PROTEINE"	"CASEINE"	"EXTRAITSEC"	"RENDEMENT"
"1,030000"	"37,799999"	"34,099998"	"27,200001"	"126,900002"	"15,970000"
"1,031000"	"35,599998"	"33,299999"	"26,400000"	"122,599998"	"14,770000"
"1,031000"	"35,700001"	"34,099998"	"26,799999"	"121,699997"	"14,590000"
"1,031000"	"33,299999"	"33,200001"	"26,600000"	"126,699997"	"14,170000"
"1,030000"	"34,400002"	"33,299999"	"26,500000"	"123,000000"	"14,790000"
"1,030000"	"33,299999"	"32,200001"	"25,600000"	"121,500000"	"14,700000"
"1,031000"	"38,400002"	"32,500000"	"25,799999"	"126,199997"	"15,200000"
"1,031000"	"34,000000"	"31,900000"	"25,500000"	"122,599998"	"14,110000"
"1,030000"	"33,099998"	"31,100000"	"24,799999"	"119,000000"	"14,060000"
"1,031000"	"34,799999"	"32,299999"	"25,700001"	"122,599998"	"14,090000"
"1,031000"	"35,500000"	"32,700001"	"26,000000"	"122,699997"	"14,410000"
"1,031000"	"35,599998"	"33,299999"	"26,500000"	"123,300003"	"14,160000"
"1,030000"	"36,099998"	"32,500000"	"25,700001"	"123,099998"	"14,340000"
"1,030000"	"36,200001"	"32,599998"	"25,500000"	"121,400002"	"14,040000"
"1,030000"	"36,000000"	"33,500000"	"26,700001"	"121,900002"	"14,020000"
"1,029000"	"35,200001"	"31,799999"	"25,100000"	"122,199997"	"14,000000"
"1,030000"	"35,400002"	"32,099998"	"25,500000"	"122,099998"	"13,780000"
"1,030000"	"36,599998"	"32,099998"	"25,299999"	"123,400002"	"14,140000"
"1,030000"	"37,500000"	"32,599998"	"25,600000"	"125,400002"	"14,860000"
"1,030000"	"36,900002"	"33,799999"	"27,000000"	"124,900002"	"14,290000"
"1,030000"	"37,299999"	"31,500000"	"24,900000"	"123,400002"	"14,460000"
"1,030000"	"35,200001"	"31,700001"	"25,000000"	"121,500000"	"13,820000"
"1,030000"	"36,400002"	"32,299999"	"25,799999"	"123,500000"	"14,540000"
"1,030000"	"34,500000"	"31,400000"	"24,799999"	"123,900002"	"14,240000"
"1,030000"	"35,799999"	"32,099998"	"25,900000"	"122,599998"	"14,140000"
"1,030000"	"36,000000"	"31,200001"	"24,600000"	"122,900002"	"14,050000"
"1,030000"	"35,799999"	"31,299999"	"24,900000"	"121,699997"	"14,040000"
"1,031000"	"36,500000"	"33,099998"	"26,600000"	"125,099998"	"14,200000"
"1,031000"	"35,500000"	"31,200001"	"24,700001"	"122,800003"	"14,150000"
"1,030000"	"34,500000"	"30,200001"	"23,799999"	"122,300003"	"14,000000"
"1,031000"	"35,900002"	"32,000000"	"25,299999"	"124,199997"	"14,350000"
"1,031000"	"34,299999"	"32,200001"	"25,400000"	"122,400002"	"13,980000"
"1,030000"	"34,599998"	"30,799999"	"23,900000"	"115,699997"	"13,930000"
"1,031000"	"36,299999"	"32,599998"	"25,799999"	"124,699997"	"14,260000"
"1,031000"	"35,200001"	"32,599998"	"25,500000"	"123,300003"	"14,070000"
"1,030000"	"34,900002"	"32,700001"	"25,799999"	"119,000000"	"14,420000"
"1,030000"	"35,900002"	"33,700001"	"26,600000"	"123,400002"	"14,200000"
"1,031000"	"37,599998"	"33,200001"	"26,299999"	"125,599998"	"14,940000"
"1,030000"	"36,099998"	"33,599998"	"26,200001"	"125,300003"	"14,430000"
"1,030000"	"34,099998"	"33,200001"	"26,000000"	"124,199997"	"14,370000"
"1,031000"	"39,000000"	"32,299999"	"25,400000"	"123,500000"	"14,400000"
"1,030000"	"34,400002"	"33,099998"	"26,500000"	"123,500000"	"14,180000"
